2024/04/02;Amandine;UK Government;Does the UK have a Prime Minister?;True,False;True;The United Kingdom has a parliamentary system of government, in which the Prime Minister is the head of government. The Prime Minister is appointed by the monarch and is usually the leader of the political party with the most seats in the House of Commons. The current Prime Minister is Rishi Sunak.;;;Politics
2024/03/30;Thomas;Postage Stamp;When was invented the fisrt postage stamp ?;1735,1680;1680;The first postage stamp was invented in England in 1680 ! William Dockwra, an English merchant in London, and his partner Robert Murray established the London Penny Post. It was a mail system that delivered letters and small parcels inside the city of London for the sum of one penny. Confirmation of paid postage was indicated by the use of a hand stamp. This "stamp" was applied to the letter or parcel itself. It is considered by many historians to be the world's first postage stamp.;"William Dockwra and the Penny Post Service", Canadian Museum of Civilization.;;History
2024/03/25;Amandine;The Channel Tunnel;How long is The Channel Tunnel ?;42miles,31miles;31miles;The Channel Tunnel is a 31.35mi undersea railway tunnel that connects Folkestone (England) and Pas-de-Calais (France). It has been opened since 1994. It is the only fixed link between the island of Great Britain and the European mainland.;;;Geography
2024/02/12;Romain;The Devonshire Hunting Tapestries; Where does the Devonshire Hunting Tapestries ?;Brixham (Devon UK),Arras (Artois France);Arras (Artois France);The Devonshire Hunting Tapestries are a group of four tapestries depicting men and women in dress of the early fifteenth century hunting in the forest. The tapestries formely belongues to the Dukes of Devonshire, but in 1957 were accepted by HM Government in lieu of tax payable on the estate of the 10th Duke of Devonshire and allocated to the Victoria and Albert Museum, where they remain. The name of this work of art  suggests that it was made in England,but in reality it was certainly;"The Devonshire Hunting Tapestries". Victoria and Albert Museum made in France, in Arras, during the 15th century.;;Art
2024/02/05;Amandine;First moving pictures; In which park were the first moving pictures developed on celluloid film made ?;Hyde Park (London),Holyrood Park (Edinburgh);Holyrood Park (Edinburgh);The first moving pictures developed on celluloid film were made in Hyde Park, London in 1889 by British inventor William Friese Greene,who patented the process in 1890.;"Who's Who of Victorian Cinema". www.victorian-cinema.net.;;Cinema
2023/12/12;Thomas;World Economy Rank;In 2024 the United Kingdom is the 8th world largest economy.;True,False;False;In 2024, the UK is the 6th world largest economy behind the US,China,Germany,Japan and India, with a 3.3 GDP (in USD Billion). The 8th one is Italy with a 2.2 GDP.;AWBI, World Economy Ranking 2024: Top 10 Countries In World List,6 March 2024 by Manu Singh;;Economy
2024/01/26;Amandine;British dialects;How many English dialects exist?;~10,~40;~40;There are almost 40 different dialects in the UK that sound totally different from each other, and in many cases use different spellings and word structure. In fact, there’s pretty much one accent per county. The most popular are Scottish, Yorkshire and Welsh.;"10 British dialects you need to know",by Tom F,www.ef.com;;Language
2023/12/28;Thomas;William Shakespeare;Which of those pieces was written by William Shakespeare ?;Antony and Cleopatra,Middlemarch;Antony and Cleopatra;Antony and Cleopatra is a tragedy by William Shakespeare. The play was first performed around 1607. William Shakespeare was part of a company called Lord Chamberlain’s Men. Together, they performed for Queen Elizabeth and were later called the King’s Men after the queen died. The first performance of the tragedy was made by the King's men. Middlemarch, A Study of Provincial Life is in fact a novel by English author George Eliot, the pen name of Mary Ann Evans.;;;Litterature
2023/11/26;Amandine;Irish rock bands;Was the famous rock band U2 an Irish band ?;Yes,No;Yes;Yes! Formed in 1976, U2 is a very famous rock band and it is an irish band ! U2 has won 22 Grammy Awards, is ranked 22nd in Rolling Stone magazine's list of the "100 Greatest Artists of All Time" and has been named an "Ambassador of Conscience" by Amnesty International. In fact, a lot of rock bands from the 19s are irish bands, such as The Cranberries, The Frames, The Corrs, Kodaline...;;;Music
2023/10/18;Thomas;English telescope;Who built the first practical reflecting telescope ?;Isaac Newton,John Flamsteed;Isaac Newton;The Newtonian telescope, also called the Newtonian reflector or just a Newtonian, is a type of reflecting telescope invented by the English scientist Sir Isaac Newton, using a concave primary mirror and a flat diagonal secondary mirror. This invention was completed and first used in 1668.; Hall, A. Rupert (1992). Isaac Newton: Adventurer in Thought. Cambridge University Press.;;Scientific
2024/04/02;Amandine;Ireland rugby team;When does the Ireland rugby team reached number one for the first time in the World Rugby Rankings ?;2019,2022;2019;The first time was in 2019 but the Ireland rugby team also returned number one in 2022. The full name of the team is The Ireland national rugby union team. The team represents both the Republic of Ireland and Northern Ireland. This situation is unique among international rugby teams because the Irish team is the only one to bring together two different political entities.;;;Sport
